sno,sna,sarea,lng,lat,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,捷運市政府站(3號出口),信義區,121.5679044,25.04085789,0.66,0.62,0.59,0.54,0.53,0.56,0.66,0.66,0.61,0.59,0.53,0.56,0.75,0.72,0.75,0.44,0.19,0.11
2,捷運國父紀念館站(2號出口),大安區,121.55742,25.041254,0.64,0.55,0.3,0.11,0.33,0.27,0.5,0.69,0.29,0.33,0.29,0.69,0.48,0.19,0.42,0.21,0.5,0.35
3,台北市政府,信義區,121.5651694,25.03779722,0.33,0.4,0.6,0.97,0.55,0.28,0.3,0.62,0.7,0.47,0.85,0.5,0.53,0.28,0.75,0.35,0.42,0.17
4,市民廣場,信義區,121.562325,25.03603611,0.22,0.28,0.55,0.52,0.47,0.48,0.55,0.6,0.7,0.65,0.83,0.82,0.42,0.43,0.3,0.27,0.17,0.12
5,興雅國中,信義區,121.5686639,25.03656389,0.47,0.42,0.75,0.27,0.25,0.07,0.17,0.28,0.28,0.27,0.3,0.45,0.2,0.45,0.5,0.57,0.12,0.15
6,臺北南山廣場,信義區,121.565973,25.034047,0.27,0.32,0.59,0.72,0.81,0.82,0.78,0.84,0.9,0.9,0.91,0.9,0.37,0.26,0.26,0.03,0.03,0.03
7,信義廣場(台北101),信義區,121.5656194,25.03303889,0.38,0.31,0.62,0.7,0.68,0.71,0.67,0.86,0.68,0.71,0.64,0.35,0.51,0.5,0.29,0.01,0.1,0
8,世貿三館,信義區,121.5636889,25.03521389,0.41,0.56,0.68,0.75,0.68,0.69,0.71,0.75,0.76,0.76,0.76,0.64,0.2,0.24,0.14,0.03,0,0.2
9,松德站,信義區,121.57448,25.031785,0.72,0.65,0.68,0.7,0.57,0.23,0.12,0.15,0.33,0.93,0.95,0.05,0.2,0.35,0.33,0.4,0.6,0.53
10,台北市災害應變中心,信義區,121.5661167,25.02866111,0.68,0.7,0.62,0.62,0.57,0.69,0.72,0.4,0.47,0.4,0.62,0.27,0.69,0.94,0.54,0.85,0.83,0.75
11,三張犁,信義區,121.55762,25.034937,0.86,0.44,0.12,0.15,0.11,0.15,0.11,0,0.17,0.27,0.18,0.12,0.08,0.21,0.36,0.61,0.76,0.82
12,臺北醫學大學,信義區,121.561747,25.026679,0.31,0.58,0.46,0.52,0.33,0.35,0.33,0.58,0.67,0.9,0.54,0.12,0.35,0.55,0.33,0.61,0.63,0.72
13,福德公園,信義區,121.58367,25.03809,0.48,0.36,0.41,0.22,0.83,0.74,0.67,0.6,0.62,0.53,0.47,0.6,0.66,0.47,0.59,0.41,0.6,0.41
14,榮星花園,中山區,121.54037,25.06424,0.44,0.72,0.66,0.56,0.5,0.41,0.5,0.38,0.28,0.34,0.19,0.56,0.25,0.19,0.81,0.28,0.94,0.81
15,饒河夜市,松山區,121.571885,25.049845,0.71,0.25,0.37,0.39,0.37,0.28,0.22,0.17,0.23,0.25,0.28,0.25,0.5,0.75,0.7,0.88,0.83,0.87
16,松山家商,信義區,121.579135,25.036084,0.72,0.98,0.59,0.7,0.53,0.43,0.63,0.76,0.7,0.52,0.11,0.11,0.04,0.32,0.43,0.76,0.83,0.77
17,民生光復路口,松山區,121.55514,25.05862,0.25,0.44,0.81,0.45,0.39,0.27,0.42,0.35,0.29,0.21,0.41,0.32,0.36,0.27,0.24,0.15,0.21,0.21
18,臺北市藝文推廣處,松山區,121.552278,25.048268,0.32,0.37,0.29,0.26,0.29,0.16,0.13,0.39,0.55,0.45,0.74,0.58,0.76,0.97,0.58,0.37,0.32,0.29
19,象山公園,信義區,121.56981,25.02863,0.17,0.3,0.83,0.53,0.9,0,0.13,0.33,0.37,0.33,0.33,0.4,0.27,0.03,0,0.07,0.23,0.07
20,捷運科技大樓站,大安區,121.543293,25.025896,0.96,0.86,0.33,0,0.1,0.48,0.45,0.52,0.22,0.23,0.25,0.41,0.01,0.01,0.13,0.33,0.39,0.41
21,民生敦化路口,松山區,121.548982,25.057985,0.42,0.08,0.52,0.67,0.53,0.38,0.38,0.33,0.42,0.42,0.44,0.83,0.73,0.5,0.49,0.34,0.25,0.15
22,松山車站,信義區,121.57845,25.048824,0.5,0.25,0.43,0.48,0.52,0.7,0.8,0.64,0.36,0.52,0.18,0.8,0.16,0.57,0.42,0.5,0.05,0.3
23,東新國小,南港區,121.602798,25.055074,0.59,0.44,0.72,0.47,0.47,0.39,0.32,0.26,0.23,0.19,0.16,0.13,0.31,0.38,0.09,0.53,0.94,0.56
24,信義建國路口,大安區,121.53747,25.03293,0.84,0.8,0.23,0.27,0.34,0.25,0.23,0.56,0.33,0.27,0.42,0,0.24,0.37,0.5,0.87,0.65,0.63
25,永吉松信路口,信義區,121.57205,25.04543,0.63,0.73,0.97,0.9,0.7,0.3,0.03,0.27,0.37,0.57,0.73,0.5,1,0.2,0.33,0.4,0.57,0.5
26,捷運昆陽站(1號出口),南港區,121.592375,25.050142,0.1,0.5,0.56,0.62,0.64,0.43,0.31,0.19,0.52,0.57,0.52,0.71,0.1,0.05,0.29,0.22,0.29,0.12
27,捷運南港展覽館站(5號出口),南港區,121.61669,25.05469,0.19,0.55,0.33,0.33,0.26,0.57,0.57,0.88,0.5,0.4,0.45,0.45,0.12,0.32,0.21,0.12,0.02,0.26
28,五常公園,信義區,121.57467,25.04814,0.22,0.22,0.12,0.56,0.56,0.22,0.28,0.31,0.25,0.22,0.19,0.03,0.53,0.91,0.22,0.48,0.77,0.74
29,金山愛國路口,大安區,121.52655,25.03164,0.17,0.38,0.81,0.77,0.74,0.57,0.57,0.85,0.89,0.87,0.74,0.17,0,0.11,0.11,0.13,0,0
30,基隆長興路口,大安區,121.544352,25.017054,0.7,0.68,0.64,0.58,0.38,0.65,0.43,0.47,0.5,0.47,0.64,0.2,0.16,0.31,0.38,0.49,0.77,0.7
31,辛亥新生路口,大安區,121.53456,25.022413,0.2,0.27,0.07,0.1,0.13,0.13,0.4,0.5,0.5,0.73,0.45,0.28,0.14,0.48,0.38,0.07,0.03,0.21
32,捷運六張犁站,大安區,121.553161,25.023884,0.58,0.5,0.53,0.45,0.34,0.37,0.39,0.63,0.47,0.55,0.87,0.97,0.42,0.08,0.03,0.39,0.39,0.32
33,中崙高中,松山區,121.56087,25.04878,0.3,0.26,0.37,0.41,0.5,0.41,0.2,0.52,0.54,0.46,0.37,0.22,0.33,0.26,0.28,0,0.15,0.15
34,捷運行天宮站(1號出口),中山區,121.532934,25.058369,0.47,0.22,0.22,0.16,0.34,0.12,0.12,0.31,0.12,0.53,0.12,0.59,0.41,0.47,0.56,0.19,0.25,0.06
35,捷運行天宮站(3號出口),中山區,121.533302,25.059978,0.76,0.54,0.68,0.25,0.21,0.03,0.07,0.07,0.23,0.17,0.24,0.43,0.97,0.71,0.96,0.43,0.41,0.24
36,臺大資訊大樓,大安區,121.54153,25.02101,0.14,0.08,0.67,0.12,0.11,0.11,0,0.53,0.61,1,0.65,0.88,0.43,0.26,0.43,0.39,0.42,0.24
37,捷運東門站(4號出口),大安區,121.528988,25.0337,0.7,0.33,0.26,0.09,0.24,0.11,0.02,0.09,0.04,0.22,0.17,0.37,0.54,0.11,0.13,0.28,0.31,0.6
38,臺灣師範大學(圖書館),大安區,121.52889,25.02665,0.03,0.18,0.71,0.53,0.88,0.5,0.56,0.24,0.09,0.12,0.03,0.15,0.88,0.88,0.12,0.03,0.09,0.03
39,南港世貿公園,南港區,121.61422,25.058,0.15,0.31,0.65,0.73,0.38,0.38,0.5,0.73,0.69,0.69,0.5,0.85,0.08,0.19,0.04,0.23,0,0.15
40,玉成公園,南港區,121.5864,25.04287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,中研公園,南港區,121.613706,25.047425,0.57,0.6,0.87,0.6,0.67,0.53,0.57,0.43,0.57,0.47,0.87,0,0.17,0.2,0.3,0.8,0.27,0.43
42,捷運後山埤站(1號出口),信義區,121.58174,25.04431,0.39,0.34,0.11,0.32,0.45,0.61,0.84,0.89,0.97,0.71,0.37,0.42,0.71,0.68,0.39,0.21,0.13,0.32
43,凌雲市場,南港區,121.614154,25.035639,0.39,0.19,0.14,0.11,0.03,0.17,0.11,0.08,0.08,0.08,0.19,0.14,0.39,0.42,0.53,0.36,0.36,0.44
44,捷運南港軟體園區站(2號出口),南港區,121.616187,25.05973,0.42,0.44,0.56,0.58,0.58,0.69,0.67,0.64,0.61,0.61,0.64,0.56,0.08,0.14,0.28,0.44,0.44,0.44
45,捷運公館站(2號出口),大安區,121.534538,25.01476,0.66,0,0,0,0.07,0.23,0.47,0.1,0.13,0.47,0.8,0.77,0.57,0.27,0.8,0.2,0.73,0.13
46,南港國小,南港區,121.611027,25.05646,0.09,0.18,0.77,0.79,0.65,0.77,0.63,0.64,0.61,0.55,0.95,0.75,0.07,0.07,0.02,0.23,0.14,0.16
47,捷運忠孝新生站(3號出口),大安區,121.533862,25.041924,0.72,0.44,0.03,0.36,0.31,0.22,0.06,0.31,0.25,0.19,0.17,0.31,0.33,0,0.06,0,0.22,0.64
48,南港車站(忠孝東路),南港區,121.608202,25.05247,0.63,0.71,0.13,0.13,0.24,0.18,0.26,0.13,0.16,0.18,0.18,0.66,0.66,0.61,0.61,0.47,0.39,0.26
49,龍門廣場,大安區,121.548252,25.040901,0.65,0.47,0.16,0.43,0.57,0.73,0.75,0.73,0.69,0.47,0.61,0.41,0.44,0.57,0.49,0.08,0.02,0.37
50,民權運動公園,松山區,121.560186,25.062002,0.34,0.42,0.34,0.3,0.3,0.33,0.29,0.27,0.27,0.27,0.27,0.14,0.02,0.06,0.02,0.14,0.22,0.26
51,建國農安街口,中山區,121.536775,25.065031,0.48,0.33,0.17,0.19,0.33,0.33,0.33,0.38,0.45,0.48,0.24,0.12,0.02,0.12,0.11,0.21,0.24,0.31
52,建國長春路口,中山區,121.536925,25.054761,0.1,0.1,0.77,0.5,0.43,0.27,0.4,0.43,0.5,0.73,0.6,0.33,0.23,0.03,0,0.07,0.1,0.33
53,八德市場,中山區,121.536609,25.044781,0.46,0.35,0.04,0.12,0.12,0.04,0.15,0.15,0.23,0.15,0.08,0.12,0.12,0.27,0.5,0.42,0.77,0.23
54,臺北市立圖書館(總館),大安區,121.538073,25.028798,0.7,0.03,0.13,0.2,0.34,0.1,0.03,0.3,0.37,0.4,0.07,0.1,0.37,0.6,0.2,0.63,1,0.67
55,臺北田徑場,松山區,121.549408,25.049505,0.37,0.48,0.76,0.85,0.63,0.54,0.52,0.65,0.82,0.78,0.78,0.73,0.52,0.41,0.22,0.04,0,0.17
56,仁愛林森路口,中正區,121.522334,25.038954,0.41,0.66,0.59,0.76,0.59,0.39,0.39,0.73,0.8,0.93,0.66,0.68,0.05,0.27,0.49,0.54,0.76,0.95
57,新生和平路口,大安區,121.53519,25.026217,0.13,0.35,0.74,0.63,0.52,0.57,0.43,0.43,0.5,0.37,0.35,0.04,0,0.22,0.54,0.76,0.37,0.39
58,捷運善導寺站(1號出口),中正區,121.5222,25.045267,0.28,0.5,0.65,0.54,0.59,0.59,0.63,0.59,0.46,0.54,0.8,0.59,0.5,0.3,0.39,0.48,0.46,0.43
59,林森公園,中山區,121.525805,25.052227,0.77,0.43,0.17,0.2,0.23,0.33,0.33,0.53,0.6,0.6,0.5,0.67,0.93,0.67,0.83,0.83,0.5,0.33
60,中山行政中心,中山區,121.533487,25.064317,0.41,0.28,0.24,0.48,0.48,0.54,0.61,0.66,0.52,0.55,0.38,0.21,0.72,0.28,0.21,0.55,0.86,0.59
61,台灣科技大學,大安區,121.539723,25.0131,0.26,0.11,0.3,0.17,0.17,0.07,0.37,0.41,0.17,0.78,0.54,0.52,0.04,0.04,0.02,0.17,0.3,0.35
62,南昌公園,中正區,121.520258,25.026827,0.38,0.29,0.59,0.59,0.56,0.56,0.38,0.32,0.35,0.15,0.03,0.68,0.09,0.24,0.24,0.06,0.12,0.26
63,仁愛醫院,大安區,121.545632,25.037569,0.06,0.39,0.37,0.5,0.17,0.06,0.33,0.53,0.53,0.61,0.64,0.72,0.58,0.19,0.92,0.44,0.44,0.36
64,國家圖書館,中正區,121.517029,25.037773,0.22,0.42,0.92,0.74,0.74,0.7,0.84,0.76,0.7,0.76,0.74,0.42,0.58,0.29,0.44,0.06,0.04,0.08
65,青年公園3號出口,萬華區,121.502708,25.022725,0.46,0.49,0.4,0.23,0.57,0.59,0.7,0.76,0.81,0.86,0.27,0.32,0.49,0.46,0.14,0.22,0.73,0.7
66,師範大學公館校區,文山區,121.537188,25.007528,0.5,0.6,0.48,0.31,0.5,0.48,0.31,0.43,0.4,0.38,0.17,0.19,0.1,0.07,0.05,0.31,0.36,0.26
67,捷運臺大醫院(4號出口),中正區,121.516428,25.042973,0.38,0.12,0.5,0.6,0.6,0.33,0.48,0.65,0.58,0.4,0.21,0.6,0.9,0.65,0.31,0,0,0.08
68,國興青年路口,萬華區,121.506536,25.025865,0.69,0.53,0.42,0.54,0.69,0.31,0.28,0.47,0.44,0.53,0.28,0.31,0.83,0.36,0.61,0.22,0.44,0.47
69,興豐公園,文山區,121.547778,24.999837,0.29,0.38,0.76,0.65,0.62,0.68,0.76,0.79,0.82,0.85,0.59,0.18,0.56,0.59,0.21,0.24,0.35,0.15
70,捷運台北101/世貿站,信義區,121.561645,25.032752,0.67,0.45,0.35,0.73,0.43,0.49,0.53,0.53,0.25,0.35,0.1,0.1,0.69,0.22,0.35,0.29,0,0.12
71,捷運信義安和站(4號出口),大安區,121.554204,25.032985,0.73,0.27,0.66,0.2,0.17,0.7,0.62,0.43,0.53,0.2,0,0.07,0.87,0.17,0.23,0.03,0.43,0.34
72,新生長安路口,中山區,121.529346,25.048611,0.33,0.21,0.14,0.07,0,0.29,0.43,0.38,0.31,0.31,0.26,0.26,0.64,0.74,0.55,0.43,0.45,0.43
73,酒泉延平路口,大同區,121.510195,25.072228,0.34,0.31,0.59,0.56,0.5,0.38,0.47,0.5,0.56,0.5,0.59,0.28,0.19,0.25,0.25,0.59,0.69,0.72
74,信義連雲街口,中正區,121.530547,25.033817,0.78,0.55,0.28,0.18,0.18,0.07,0.12,0.15,0.25,0.17,0.07,0.23,0.6,0.7,0.23,0.35,0.3,0.42
75,基隆光復路口,信義區,121.557635,25.0300508,0.57,0.33,0.57,0.5,0.4,0.43,0.43,0.2,0.3,0.17,0.23,0.63,0.37,0.1,0.3,0.5,0.67,0.59
76,新生長春路口,中山區,121.527522,25.056387,0.83,0.56,0.31,0.61,0.42,0.44,0.44,0.42,0.31,0.25,0.22,0.14,0.08,0.14,0.28,0.58,0.67,0.61
77,民生活動中心,松山區,121.56297,25.059147,0.65,0.87,0.97,0.48,0.48,0.26,0.55,0.65,0.74,0.74,0,0.29,0.22,0.5,0.19,0.31,0.47,0.69
78,捷運圓山站(2號出口),大同區,121.519287,25.071824,0.29,0.37,0.61,0.35,0.65,0.57,0.61,0.58,0.6,0.58,0.6,0.48,0.4,0.46,0.1,0,0.1,0.04
79,捷運民權西路站(3號出口),大同區,121.520205,25.061285,0.42,0.68,0.78,0.78,0.88,0.98,0.98,0.94,0.86,0.76,0.82,0.62,0.26,0.3,0.18,0.32,0.2,0.3
80,華江高中,萬華區,121.495869,25.02751,0.27,0.41,0.57,0.64,0.57,0.55,0.49,0.6,0.63,0.77,0.53,0.3,0.66,0.68,0.86,0.73,0.7,0.77
81,捷運台電大樓站(2號出口),大安區,121.528552,25.020547,0.48,0.15,0,0.18,0,0.12,0,0,0.06,0.12,0.35,0.12,0.5,0.71,0.53,0.47,0.74,0.32
82,捷運西門站(3號出口),中正區,121.508693,25.041778,0.71,0.63,0.58,0.61,0.53,0.47,0.63,0.61,0.73,0.78,0.56,0.78,0.56,0.53,0.29,0.22,0.03,0
83,捷運大安森林公園站,大安區,121.535161,25.033156,0.55,0.42,0.11,0.01,0.12,0,0.05,0.7,0.71,0.77,0.61,0.8,0.69,0.74,0.8,0.8,0.76,0.73
84,復華花園新城,萬華區,121.502899,25.029705,0.82,0.32,0.63,0.55,0.47,0.5,0.61,0.53,0.5,0.53,0.68,0.21,0.32,0.76,0.21,0.32,0.39,0.55
85,信義敦化路口,大安區,121.54911,25.033362,0.39,0.26,0.48,0.3,0.26,0.59,0.43,0.48,0.39,0.24,0.33,0.65,0.28,0.09,0.61,0.37,0.26,0.22
86,民權復興路口,松山區,121.545138,25.062344,0.14,0.08,0.08,0.11,0.25,0.36,0.39,0.36,0.33,0.33,0.33,0.31,0.28,0.11,0.31,0.64,1,0.64
87,捷運大安站,大安區,121.543057,25.033078,0.48,0,0.24,0,0.1,0.14,0,0.1,0.48,0.64,0,0,1,0.05,0.64,0.5,0.05,0
88,捷運象山站,信義區,121.57087,25.032922,0.72,0.16,0.02,0.05,0.03,0.08,0.26,0.45,0.4,0.56,0.65,1,0.87,0.63,0.61,0.55,0.37,0.26
89,和平重慶路口,中正區,121.516385,25.027323,0.82,0.61,0.18,0.14,0.16,0.02,0.05,0,0.02,0.05,0.16,0.18,0.16,0.52,0.23,0.3,0.55,0.59
90,老松國小,萬華區,121.501708,25.037783,0.52,0.4,0.21,0.07,0.18,0.14,0.2,0.27,0.27,0.05,0.18,0.11,0.45,0.41,0.32,0.59,0.67,0.71
91,市立美術館,中山區,121.523268,25.070629,0.64,0.64,0.97,0.72,0.78,0.78,0.67,0.86,0.81,0.64,0.61,0.36,0.64,0.53,0.47,0.5,0.47,0.47
92,開封西寧路口,萬華區,121.507169,25.046618,0.21,0.26,0.43,0.07,0.05,0.05,0.29,0.24,0.24,0.19,0.29,0.14,0.43,0.57,0.48,0.31,0.38,0.45
93,吳興公車總站,信義區,121.569836,25.023877,0.66,0.3,0.21,0.77,0.64,0.52,0.52,0.39,0.3,0.28,0.31,0.41,0.36,0.24,0.52,0.57,0.7,0.44
94,捷運景美站,文山區,121.541059,24.993254,0.67,0.22,0.39,0.45,0.39,0.25,0.1,0.39,0.45,0.54,0.62,0.42,0.71,0.87,0.44,0.88,0.29,0.37
95,東園國小,萬華區,121.497679,25.023393,0.43,0.36,0.43,0.41,0.25,0.22,0.12,0.19,0.25,0.12,0.22,0.25,0.97,0.59,0.31,0.44,0.66,0.62
96,三民公園,松山區,121.566558,25.061567,0.68,0.5,0.36,0.31,0.14,0.38,0.34,0.38,0.41,0.45,0.52,0.33,0.43,0.47,0.4,0.57,0.53,0.66
97,捷運劍潭站(2號出口),士林區,121.524721,25.082825,0.69,0.29,0.44,0.29,0.17,0.4,0.52,0.54,0.51,0.33,0.25,0.85,0.83,0.06,0.19,0.08,0,0.19
98,羅斯福景隆街口,文山區,121.540197,24.999378,0.43,0.38,0.33,0.43,0.36,0.21,0.31,0.43,0.45,0.45,0.55,0.55,0.46,0.33,0.48,0.64,0.6,0.69
99,捷運雙連站(2號出口),大同區,121.520711,25.057866,0.46,0.23,0.15,0.45,0.26,0.62,0.88,0.81,0.88,0.86,0.6,0.02,0.4,0.1,0.1,0,0.07,0.12
100,金山市民路口,中正區,121.530697,25.045753,0.41,0.44,0.23,0.1,0.21,0.13,0.05,0.1,0.41,0.15,0.08,0.21,0,0.12,0.1,0.03,0.05,0.28
101,華山文創園區,中正區,121.528487,25.043668,0.22,0.14,0.18,0.24,0.4,0.46,0.52,0.46,0.4,0.46,0.5,0.32,0.4,0.18,0.16,0.2,0.2,0.14
102,臺北市客家文化主題公園,中正區,121.525322,25.02043,0.31,0.12,0.09,0.06,0.06,0,0,0,0.09,0.12,0.03,0.09,0.03,0.06,0.06,0.34,0.53,0.28
103,萬華車站,萬華區,121.503028,25.033639,0.35,0.15,0.3,0.25,0.15,0.13,0.17,0.07,0.03,0.02,0.07,0.3,0.35,0.33,0.35,0.32,0.37,0.33
104,台北花木批發市場,文山區,121.54074,25.004023,0.39,0.89,0.58,0.5,0.42,0.39,0.26,0.18,0.11,0.29,0.26,0.39,0.32,0.58,0.24,0.29,0.29,0.5
105,峨嵋停車場,萬華區,121.505409,25.044412,0.17,0.07,0.24,0.24,0.31,0.17,0.1,0.19,0.19,0.14,0.21,0.14,0.02,0.24,0.19,0.17,0.12,0.05
106,西園艋舺路口,萬華區,121.497674,25.032932,0.45,0.45,0.36,0.25,0.2,0.25,0.25,0.25,0.2,0.25,0.43,0.48,0.66,0.57,0.64,0.64,0.59,0.57
107,捷運小南門站(1號出口),中正區,121.509422,25.036402,0.17,0.46,0.76,0.8,0.76,0.74,0.72,0.83,0.85,0.74,0.67,0.67,0.39,0.3,0.22,0.28,0.07,0.04
108,臺北孔廟,大同區,121.515843,25.073306,0.53,0.5,0.41,0.59,0.44,0.35,0.28,0.12,0.03,0.03,0.03,0.35,0.9,0.35,0.74,0.71,0.74,0.78
109,林安泰古厝,中山區,121.530805,25.071606,0.39,0.42,0.58,0.69,0.67,0.64,0.64,0.72,0.81,0.39,0.36,0.39,0.31,0.33,0.33,0.28,0.28,0.25
110,文湖國小,內湖區,121.560888,25.086376,0.89,0.57,0.3,0.57,0.41,0.77,0.82,0.8,0.61,0.59,0.48,0.45,0.23,0.18,0.23,0.48,0.82,0.55
111,捷運忠孝復興站(2號出口),大安區,121.543497,25.040184,0.85,0.57,0.74,0.54,0.46,0.46,0.72,0.37,0.15,0.13,0.19,0.35,0.31,0.46,0.56,0.22,0.31,0.3
112,捷運新北投站,北投區,121.503124,25.137456,0.64,0.53,0.38,0.23,0.47,0.51,0.36,0.45,0.38,0.17,0.11,0.02,0.35,0.45,0.43,0.42,0.56,0.6
113,仁愛逸仙路口,信義區,121.561178,25.037724,0.69,0.58,0.81,0.74,0.69,0.33,0.25,0.25,0.31,0.17,0.11,0.19,0.03,0,0.22,0.54,0.49,0.46
114,蘭雅公園,士林區,121.530386,25.109908,0.34,0.21,0.38,0.24,0.41,0.14,0.07,0.45,0.52,0.93,0.14,0.21,0.68,0.68,0.54,0,0.04,0.11
115,臺北轉運站,中正區,121.520526,25.048222,0.54,0.37,0.25,0.34,0.4,0.32,0.25,0.24,0.34,0.34,0.46,0.66,0.66,0.57,0.49,0.76,0.28,0.22
116,福林公園,士林區,121.530215,25.096122,0.33,0.28,0.19,0.26,0.3,0.33,0.37,0.4,0.44,0.44,0.44,0.42,0.42,0.49,0.3,0.26,0.26,0.23
117,捷運北投站,北投區,121.498618,25.132581,0.5,0.17,0.64,0.21,0.28,0.43,0.76,0.59,0.57,0.64,0.45,0.62,0.67,0.57,0.53,0.31,0.33,0.12
118,大業大同街口,北投區,121.499152,25.136929,0.47,0.33,0,0.42,0.31,0.47,0.36,0.22,0.22,0.19,0.28,0.31,0.39,0.67,0.28,0.47,0.78,0.89
119,捷運劍南路站(2號出口),中山區,121.555116,25.08418,0.04,0.29,0.48,0,0.11,0.27,0.34,0.52,0.55,0.39,0.48,0.21,0.49,0.3,0.16,0,0,0.02
120,捷運龍山寺站(1號出口),萬華區,121.50026,25.035479,0.67,0.57,0.59,0.87,0.11,0.28,0.26,0.09,0.22,0.27,0.47,0.42,0.11,0.29,0.11,0.18,0.07,0
121,龍江南京路口,中山區,121.540568,25.05298,0.2,0.38,0.55,0.48,0.65,0.7,0.66,0.67,0.67,0.77,0.77,0.61,0.26,0.27,0.15,0.06,0.05,0.11
122,捷運港墘站(2號出口),內湖區,121.57584,25.079666,0.64,0.34,0.02,0,0,0.1,0.02,0,0,0,0.1,0.48,0.88,0.6,0.42,0.46,0.3,0.26
123,天母運動公園,士林區,121.534136,25.116325,0.52,0.43,0.5,0.66,0.64,0.52,0.48,0.55,0.57,0.61,0.55,0.57,0.41,0.41,0.55,0.64,0.66,0.73
124,振華公園,北投區,121.518163,25.115863,0.6,0.31,0.17,0.14,0.14,0.14,0.17,0.11,0.06,0.06,0.09,0.06,0.29,0.23,0.4,0.4,0.31,0.29
125,華西公園,萬華區,121.498495,25.038609,0.6,0.33,0.17,0.1,0.13,0.1,0.1,0.1,0.17,0.13,0.07,0.27,0.57,0.87,0.9,0.43,0.83,0.77
126,敦化基隆路口,大安區,121.548336,25.022073,0.2,0.37,0.4,0.37,0.5,0.33,0.13,0.63,0.7,0.47,0.4,0.72,0,0.37,0.23,0.07,0.03,0.1
127,東湖國中,內湖區,121.619521,25.073277,0.3,0.33,0.42,0.33,0.33,0.23,0.05,0.12,0.12,0.15,0.12,0.03,0.2,0.42,0.15,0.17,0.28,0.33
128,成功國宅,大安區,121.546726,25.026808,0.73,0.42,0.65,0.5,0.24,0.54,0.11,0.03,0,0.08,0,0.22,0.44,0.56,0.47,0.22,0.56,0.58
129,捷運文德站(2號出口),內湖區,121.58456,25.078424,0.9,0.63,0.02,0.12,0.16,0.18,0.29,0.1,0.06,0.1,0.18,0.32,0.66,0.66,0.66,0.8,0.78,0.84
130,羅斯福寧波東街口,中正區,121.519411,25.031445,0.62,0.73,0.42,0.62,0.81,0.62,0.81,0.62,0.54,0.54,0.5,0.04,0.12,0.81,0.31,0.08,0,0.08
131,洲子二號公園,內湖區,121.568688,25.079322,0.21,0.18,0.26,0.62,0.59,0.41,0.44,0.53,0.65,0.53,0.65,0.62,0.19,0.06,0.09,0,0.03,0.41
132,羅斯福新生南路口,大安區,121.5331757,25.01603085,0.78,0.4,0,0,0.02,0.09,0.07,0,0.01,0.06,0.29,0.39,0.54,0.56,0.71,0.55,0.42,0.62
133,蘭興公園,士林區,121.525888,25.111839,0.6,0.53,0.3,0.25,0.3,0.2,0.35,0.4,0.45,0.05,0.07,0.1,0.1,0.38,0.3,0.75,0.23,0.53
